"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Docker", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/events/base-publisher.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 1, 4, 29
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/events/subjects.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/events/ticket-created-event.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/events/ticket-created-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 1, 3, 16
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/events/ticket-created-publisher.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/listener.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 31, 20, 68
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/src/publisher.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 9, 8, 36
"/Users/tianbo/Desktop/newInterview/interview/ticketing/nats-test/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 10, 91, 9, 110
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/.dockerignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/Dockerfile", "Docker", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/package-lock.json", "JSON", 0, 12235, 0, 0, 0, 0, 0, 0, 1, 12236
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/__mocks__/nats-wrapper.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/app.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 7, 10, 45
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/__test__/expiration-complete-listener.test.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 1, 18, 67
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/__test__/ticket-created-listener.test.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 10, 11, 54
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/__test__/ticket-updated-listener.test.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 6, 15, 69
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/expiration-complete-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/payment-created-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 9, 28
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/queue-group-name.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/ticket-created-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 3, 3, 24
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/listener/ticket-updated-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 1, 6, 25
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/publishers/order-cancelled-publisher.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/events/publishers/order-created-pubilisher.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/tianbo/Desktop/newInterview/interview/ticketing/orders/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 15, 65
